
30.01.2021 17:02:40;KEYBOARD;VALID
30.01.2021 17:02:45;MOUSE;VALID
30.01.2021 17:02:45;KEYBOARD;VALID
30.01.2021 17:02:45;MOUSE;VALID
30.01.2021 17:02:45;KEYBOARD;VALID
30.01.2021 17:02:54;MOUSE;VALID
10.02.2021 09:01:25;KEYBOARD;VALID
10.02.2021 09:01:26;KeyboardCircle;VALID
10.02.2021 09:01:26;NOSTATE;VALID
10.02.2021 09:01:28;ONMOUSE;VALID
10.02.2021 09:01:29;NOSTATE;VALID
10.02.2021 09:01:30;ONMOUSE;VALID
10.02.2021 09:01:30;NOSTATE;VALID
10.02.2021 09:01:31;ONMOUSE;VALID
10.02.2021 09:01:41;NOSTATE;VALID
10.02.2021 09:01:42;BETWEEN;VALID
10.02.2021 09:01:42;OVERMOUSE;VALID
10.02.2021 09:01:43;NOSTATE;VALID
10.02.2021 09:01:43;BETWEEN;VALID
10.02.2021 09:01:43;OVERMOUSE;VALID
10.02.2021 09:01:43;MouseKeytap;VALID
10.02.2021 09:01:47;MouseCircle;VALID
10.02.2021 09:01:50;NOSTATE;VALID
10.02.2021 09:01:50;BETWEEN;VALID
10.02.2021 09:02:09;ONMOUSE;VALID
10.02.2021 09:02:09;NOSTATE;VALID
10.02.2021 09:02:09;BETWEEN;VALID
10.02.2021 09:02:09;ONMOUSE;VALID
10.02.2021 09:02:09;NOSTATE;VALID
10.02.2021 09:02:09;BETWEEN;VALID
10.02.2021 09:02:10;ONMOUSE;VALID
10.02.2021 09:02:10;NOSTATE;VALID
10.02.2021 09:02:10;BETWEEN;VALID
10.02.2021 09:02:10;ONMOUSE;VALID
10.02.2021 09:02:11;NOSTATE;VALID
10.02.2021 09:02:11;BETWEEN;VALID
10.02.2021 09:02:11;ONMOUSE;VALID
10.02.2021 09:02:12;NOSTATE;VALID
10.02.2021 09:02:12;BETWEEN;VALID
10.02.2021 09:02:12;ONMOUSE;VALID
10.02.2021 09:02:13;NOSTATE;VALID
10.02.2021 09:02:13;BETWEEN;VALID
10.02.2021 09:02:13;ONMOUSE;VALID
10.02.2021 09:02:13;NOSTATE;VALID
10.02.2021 09:02:13;BETWEEN;VALID
10.02.2021 09:02:13;ONMOUSE;VALID
10.02.2021 09:02:15;NOSTATE;VALID
10.02.2021 09:02:15;BETWEEN;VALID
10.02.2021 09:02:15;ONMOUSE;VALID
10.02.2021 09:02:15;NOSTATE;VALID
